"package name","methods","meth extr both","meth extr heurist","meth extr tit","exec time heurist ms","exec time tit ms"
"NewTools-RewriterTools-Tests","58","45","0","1","12","105000"
"AI-Algorithms-Graph","184","58","101","18","133","26000"
"Morphic-Widgets-Basic","495","231","289","10","313","105000"
"BaselineOfFuzzyMatcher","1","1","0","0","0","1000"
"Shout-UI","28","13","0","4","4","10000"
"Metacello-TestsReference","7","3","1","4","5","4000"
"InfererBrowser","108","35","11","33","26","33000"
"BaselineOfSystemCommands","1","1","0","0","2","1000"
"Morphic-Widgets-Scrolling","429","145","237","1","296","34000"
"System-SessionManager-Tests","47","4","41","0","11","11000"
"Calypso-SystemPlugins-Monticello-Browser","34","16","15","8","11","32000"
"Debugging-Core","116","42","15","8","42","7000"
"BaselineOfSpec2","5","1","3","0","2","2000"
"Spec2-Tests","715","662","5","40","501","181000"
"Manifest-Tests","36","6","30","0","18","3000"
"ScriptingExtensions","4","0","0","0","0","4000"
"System-Benchmark","20","5","1","6","7","0"
"Metacello-Gitlab","3","2","0","0","0","3000"
"StartupPreferences","61","34","1","24","15","8000"
"Jobs","66","32","2","21","14","7000"
"Collections-Abstract-Tests","599","818","44","396","478","590000"
"BaselineOfZodiac","1","1","0","0","1","1000"
"Collections-Sequenceable-Tests","688","944","269","99","453","122000"
"Regex-Core","300","132","13","64","189","58000"
"BaselineOfAthens","3","3","0","0","1","1000"
"Kernel","1775","902","620","146","1077","334000"
"Metacello-GitHub","18","5","8","0","2","4000"
"Calypso-SystemQueries-Tests-P2WithSubclassFromP1","0","0","0","0","0","12000"
"EmergencyDebugger-Tests","86","7","75","4","32","0"
"FreeType-Tests","32","0","32","0","23","9000"
"BaselineOfSindarin","2","0","2","0","0","1000"
"Calypso-SystemPlugins-Reflectivity-Queries-Tests","52","45","0","7","7","9000"
"Spec2-Code-Backend-Tests","10","8","1","2","2","2000"
"Roassal-Inspector-Tests","5","5","0","0","1","3000"
"Collections-Atomic-Tests","22","5","16","1","17","5000"
"NautilusRefactoring","40","12","2","16","8","14000"
"Ombu-Tests","70","53","4","12","34","18000"
"NewTools-WindowManager-Tests","8","8","0","0","1","1000"
"NewTools-Finder","479","133","241","25","240","188000"
"EnlumineurFormatter","342","129","204","14","185","17000"
"LLM-Spec","20","10","0","7","5","33000"
"Calypso-SystemPlugins-SUnit-Queries","78","43","2","24","19","24000"
"NewTools-RewriterTools","170","98","9","60","58","155000"
"Roassal-UML","140","57","2","69","35","29000"
"NewTools-SettingsBrowser","247","80","111","9","140","113000"
"LLM-API-Example","2","0","1","0","0","1000"
"ClassAnnotation-Tests","92","84","2","5","31","36000"
"Refactoring-UI-Tests","72","62","2","4","28","28000"
"Keymapping-Tests","65","36","5","13","49","19000"
"DrTests-TestCoverage-Tests","14","14","0","0","3","3000"
"Roassal-Colors","327","12","3","7","160","21000"
"BaselineOfLLMAPI","4","0","4","0","2","1000"
"FuzzyMatcher","23","6","12","2","4","4000"
"Calypso-Browser","988","348","505","56","511","232000"
"Zodiac-Tests","64","14","32","18","41","22000"
"SUnit-Core","571","245","67","199","303","96000"
"BaselineOfClap","1","1","0","0","0","1000"
"ThreadedFFI","406","123","164","10","187","91000"
"System-Platforms-Tests","19","10","1","9","4","6000"
"Roassal-DSM","82","38","34","1","17","8000"
"OpalCompiler-UI","16","5","9","0","4","2000"
"Calypso-SystemPlugins-Undeclared-Queries-Tests","11","8","1","2","3","4000"
"Text-Tests","85","2","83","0","93","17000"
"Commander2","114","177","44","8","20","102000"
"MetacelloCommandLineHandler-Core","22","7","10","2","3","4000"
"ReleaseTests","104","9","94","2","100","19000"
"Transcript-NonInteractive-Tests","4","4","0","0","0","1000"
"Athens-Core-Tests","20","17","1","3","17","4000"
"Calypso-SystemPlugins-FileOut-Queries","4","0","0","2","0","2000"
"Commander2-UI-Tests","10","9","0","1","1","0"
"Metacello-FileTree","3","0","1","0","0","0"
"Calypso-SystemPlugins-FFI-Queries","6","5","2","0","0","3000"
"Iceberg-TipUI","1956","842","925","128","958","1582000"
"Collections-Weak","51","16","22","2","22","16000"
"BaselineOfFlashback","1","0","1","0","0","1000"
"Refactoring-Transformations-Tests","789","656","39","87","776","294000"
"STON-Text support","6","0","4","0","0","0"
"System-OSEnvironments-Tests","12","1","11","0","4","2000"
"Athens-Balloon","137","77","1","35","52","32000"
"BaselineOfRoassalLayouts","1","0","1","0","0","2000"
"Zinc-Resource-Meta-Tests","80","79","1","3","52","10000"
"Calypso-SystemPlugins-Critic-Browser","95","23","53","15","13","36000"
"Roassal-Interaction","523","217","307","26","348","125000"
"JenkinsTools-Core","71","15","37","8","23","14000"
"BaselineOfSpecCore","3","1","2","0","2","1000"
"NumberParser-Tests","35","0","14","20","23","5000"
"Coverage","46","19","20","0","7","9000"
"NewTools-Debugger-Extensions","12","0","3","0","1","24000"
"System-NumberPrinting","50","0","0","18","9","0"
"System-Support-Tests","79","4","59","14","31","0"
"Microdown-RichTextPresenter","48","29","3","6","7","28000"
"Metacello-GitBasedRepository","78","31","30","2","17","13000"
"Iceberg-Plugin","28","17","1","3","2","31000"
"Tool-Registry","33","17","1","6","5","11000"
"BaselineOfAIGraphAlgorithms","1","1","0","0","0","1000"
"Spec2-Backend-Tests","444","401","5","102","207","173000"
"BaselineOfKernelTests","1","0","1","0","0","1000"
"System-Finalization-Tests","13","2","11","2","1","4000"
"Ring-Definitions-Core","472","167","217","50","178","73000"
"System-FileRegistry","34","12","12","3","4","10000"
"NewTools-Spotter-Processors","340","161","22","90","117","165000"
"Spec2-Commander2-Tests","30","29","0","1","11","8000"
"System-CommandLine","116","10","18","77","15","21000"
"TypeInfoTools-Core","399","142","16","262","176","199000"
"ThreadedFFI-UFFI-Tests","244","58","134","6","110","68000"
"Refactoring-Core","1673","475","738","70","1077","510000"
"Collections-Strings-Tests","313","67","161","264","264","80000"
"NumericInterpolator-Tests","50","48","0","2","25","60000"
"Debugging-Utils","30","11","10","10","5","10000"
"BaselineOfNeoCSV","1","0","1","0","1","1000"
"SUnit-MockObjects-Tests","21","21","0","0","4","7000"
"FreeType-Graphics","33","7","4","6","43","16000"
"Commander-Activators-Mouse","29","12","9","8","4","11000"
"Zinc-Resource-Meta-Core","239","84","100","16","152","42000"
"Iceberg-Plugin-Migration","35","18","1","16","6","28000"
"UIManager","194","33","70","4","74","20000"
"EmbeddedFreeType","78","48","3","23","1556","80000"
"BaselineOfOSWindow","1","0","1","0","0","2000"
"Reflectivity-Tests","435","383","3","36","625","41000"
"Ring-Definitions-Monticello","7","0","1","2","7","3000"
"Ring-Definitions-Monticello-Tests","7","4","3","0","2","1000"
"Ring-Monticello-Tests","8","5","2","0","2","4000"
"NumericNoise","22","17","5","0","6","4000"
"BaselineOfShift","1","0","1","0","0","2000"
"Spec2-Morphic-Backend-Tests","110","43","72","11","119","56000"
"Spec2-Layout","326","194","18","310","157","163000"
"DrTests-TestsProfiling","29","9","12","2","13","11000"
"MonticelloTonel-Tests-Mocks","27","4","18","1","2","20000"
"Files","220","98","89","11","148","42000"
"Metacello-Base","85","15","45","1","17","13000"
"MonticelloRemoteRepositories","113","48","3","42","43","44000"
"Zinc-HTTP-Examples","111","54","41","1","111","48000"
"Tools","49","13","19","9","14","29000"
"BaselineOfCommander","1","1","0","0","0","2000"
"Tool-Base","242","39","3","29","134","30000"
"FuzzyMatcher-Tests","26","4","18","0","5","5000"
"Calypso-SystemPlugins-InheritanceAnalysis-Queries-Tests","60","49","4","11","13","14000"
"Calypso-SystemPlugins-SUnit-Browser","133","68","7","79","36","118000"
"Spec2-Adapters-Stub","73","70","0","2","14","45000"
"HeuristicCompletion-Tests","214","168","0","21","168","57000"
"DrTests","301","92","153","5","154","250000"
"ThreadedFFI-Graphics-Extensions","1","0","0","0","0","0"
"Athens-Core","380","155","162","5","221","85000"
"LLM-API-Tests","6","0","6","0","0","2000"
"CodeImport-Traits","6","12","0","6","0","12000"
"Tool-Profilers-Tests","17","6","10","2","3","6000"
"SystemCommands-MethodCommands","139","90","93","15","21","367000"
"Commander-Activators-WorldMenu","4","1","3","0","6","3000"
"PharoBootstrap-Initialization","5","4","1","1","1","8000"
"Calypso-SystemPlugins-Flags-Queries-Tests","9","8","0","1","1","3000"
"Morphic-Widgets-Extra","170","39","110","4","147","51000"
"Roassal-Shapes","682","320","31","386","422","292000"
"NewTools-Spotter","494","215","63","129","310","101000"
"BaselineOfInstrumentation","1","1","0","0","0","1000"
"NECompletion-Preferences","40","20","0","16","4","5000"
"UndefinedClasses-Tests","22","3","19","0","3","4000"
"Microdown","791","240","369","30","463","274000"
"Calypso-SystemTools-FullBrowser-Tests","62","60","0","1","18","13000"
"JenkinsTools-ExtraReports","38","23","2","6","15","11000"
"Reflectivity-Tools","121","29","56","1","31","57000"
"Calypso-SystemPlugins-Critic-Queries-Tests","35","25","0","7","11","16000"
"Calypso-SystemQueries-Tests-P3WithSubclassFromP2","0","0","0","0","0","0"
"Native-Browser","9","0","6","1","1","4000"
"Metacello-TestsCore","134","116","0","10","148","32000"
"Roassal-Layouts","631","242","68","479","447","360000"
"Spec2-Morphic-Tests","40","30","34","1","6","42000"
"Calypso-SystemPlugins-Deprecation-Queries","8","5","4","0","0","4000"
"Calypso-SystemPlugins-DebugPoints-Browser","70","30","37","13","7","54000"
"NewTools-Sindarin-Commands-Tests","36","5","28","2","5","9000"
"ColorPicker","58","29","6","10","28","64000"
"Neo-JSON-Core","226","55","52","61","162","150000"
"FileSystem-Zip","14","4","6","0","2","8000"
"BaselineOfReflectionMirrors","1","0","1","0","0","1000"
"Collections-Abstract","145","124","43","8","69","32000"
"FileSystem-Memory","124","33","57","8","26","21000"
"Collections-Stack-Tests","8","32","6","0","6","17000"
"NewTools-DocumentBrowser-GitHubResource","28","6","0","15","4","10000"
"Calypso-SystemPlugins-Reflectivity-Queries","27","8","2","17","9","13000"
"Ring-Definitions-Core-Tests","67","11","67","0","80","12000"
"Settings-Polymorph","42","14","25","1","20","6000"
"J2Inferer-Tests-TestCode","50","22","0","21","5","24000"
"Zodiac-Core","168","58","7","66","114","35000"
"DebugPoints-Tests","67","5","60","0","80","9000"
"TypeInfoTools-Browser","68","127","26","4","21","121000"
"Equals","7","12","1","2","6","17000"
"SortFunctions-Core","60","14","15","5","6","30000"
"Spec2-Code-Morphic","52","25","4","9","12","11000"
"DrTests-CommentsToTests","19","4","8","2","2","8000"
"BaselineOfTraits","3","0","1","0","0","4000"
"NewTools-ObjectCentricBreakpoints","5","0","1","0","0","2000"
"Specific-Rules-Tests","7","0","7","0","1","0"
"Graphics-Transformations","139","50","44","3","39","28000"
"Calypso-SystemPlugins-Traits-Queries","16","8","0","2","2","15000"
"System-SourcesCondenser","34","25","0","7","5","10000"
"DrTests-TestCoverage","34","16","2","10","5","11000"
"Refactoring-Environment","384","152","37","152","271","77000"
"Shift-ClassBuilder-Tests","145","130","4","33","145","59000"
"Spec2-Dialogs-Tests","8","0","8","0","1","2000"
"Debugger-Model","128","47","62","13","49","36000"
"ClassDefinitionPrinters","71","3","24","30","27","10000"
"BaselineOfMenuRegistration","1","0","1","0","0","1000"
"BaselineOfClassParser","1","1","0","0","0","1000"
"Shout","151","65","8","55","129","24000"
"NumericInterpolator","217","88","88","1","144","62000"
"NewTools-DocumentBrowser-Tests","58","0","57","0","18","12000"
"J2Inferer-Stats","43","7","3","16","15","6000"
"NewTools-Scopes","74","16","15","18","21","10000"
"Network-Mail-Tests","12","0","12","0","11","5000"
"Morphic-Widgets-Tabs","257","58","104","44","206","71000"
"Morphic-Widgets-Taskbar-Tests","28","4","21","0","14","3000"
"BaselineOfLibGit","2","0","2","0","0","1000"
"MenuRegistration","212","128","3","80","124","33000"
"EmergencyDebugger","152","76","3","71","67","47000"
"BaselineOfPharoBootstrap","9","7","1","0","2","5000"
"Files-Prompt","2","0","0","1","0","26000"
"Slot-Examples","83","47","5","12","21","0"
"Commander-Activators-ContextMenu","34","8","18","2","11","5000"
"SystemCommands-PackageCommands-Tests","7","1","6","0","1","3000"
"Roassal-Chart-Tests","223","221","0","2","270","41000"
"J2Inferer-Implementors","13","5","5","1","2","3000"
"Metacello-TestsMCCore","52","2","47","0","86","11000"
"DrTests-CommentsToTests-Tests","4","4","0","0","1","2000"
"System-Announcements","164","136","56","0","22","99000"
"Clap-Tests","79","75","1","3","37","28000"
"System-Localization","97","43","2","24","28","27000"
"BaselineOfEnlumineurFormatter","1","0","1","0","0","2000"
"Keymapping-Core","193","58","92","10","92","64000"
"Morphic-Widgets-FastTable-Tests","94","47","71","0","27","42000"
"Collections-Support-Tests","44","43","40","0","26","26000"
"BaselineOfCalypso","1","1","0","0","9","2000"
"SUnit-Support-UITesting-Tests","10","8","0","1","2","3000"
"System-Benchmark-Tests","8","5","3","0","2","4000"
"PerformMessageCommandLineHandler","3","2","0","1","0","5000"
"BaselineOfBeacon","1","1","0","0","0","1000"
"BaselineOfBasicTools","4","1","3","0","4","1000"
"SystemCommands-MessageCommands","115","55","9","88","21","165000"
"Calypso-SystemPlugins-InheritanceAnalysis-Browser","36","21","4","11","12","40000"
"Ring-ChunkImporter","28","17","0","8","25","7000"
"Roassal-Animation","198","108","82","4","96","81000"
"NewTools-FontChooser","57","23","27","2","24","251000"
"Morphic-Widgets-FastTable","912","319","422","32","736","276000"
"Polymorph-Widgets","2049","409","170","730","1535","677000"
"BaselineOfMicrodown","6","6","0","0","9","1000"
"FileSystem-Path","99","41","10","40","38","25000"
"NewTools-Debugger-Tests","514","70","353","83","553","408000"
"Iceberg-Plugin-GitHub","445","177","16","177","317","495000"
"MonticelloTonel-Tests","172","25","131","0","146","39000"
"PharoDocComment-Tests","22","16","1","3","14","304000"
"Calypso-SystemPlugins-InheritanceAnalysis-Queries","82","45","2","25","25","44000"
"Deprecated13","27","8","3","8","10","10000"
"TypeMe-Tests","28","24","0","2","20","8000"
"Calypso-SystemQueries","937","376","104","218","593","439000"
"Monticello-BackwardCompatibility","54","15","9","12","21","19000"
"Commander-Core-Tests","23","8","15","0","12","25000"
"Spec2-Code-Diff","84","45","4","22","28","72000"
"Athens-Cairo","615","172","68","451","395","592000"
"NewTools-ProfilerUI","191","91","6","64","137","96000"
"Collections-Tests","13","9","1","3","5","5000"
"DrTests-RottenGreenTestsFinder","21","8","3","3","2","8000"
"OpalCompiler-Tests","1016","640","111","216","932","271000"
"System-History-Tests","24","23","1","1","15","6000"
"FreeType","754","276","274","67","625","260000"
"Tool-ImageCleaner","20","15","0","3","4","11000"
"EmbeddedFreeType-Tests","5","2","1","2","1","1000"
"Text-Edition","20","3","7","3","3","5000"
"SystemCommands-SourceCodeCommands","131","81","17","73","33","209000"
"Traits","461","128","149","51","301","113000"
"PharoDocComment","43","12","7","15","7","11000"
"SortFunctions-Tests","21","0","21","0","8","426000"
"Refactoring-Critics","164","86","13","63","55","56000"
"NewTools-SpTextPresenterDecorators","33","12","14","6","5","8000"
"FileSystem-Disk","185","91","13","41","131","54000"
"Spec2-Morphic","115","53","14","37","22","116000"
"Morphic-Widgets-TickList","22","11","0","5","8","18000"
"Zinc-Character-Encoding-Tests","135","60","61","16","239","31000"
"Refactoring-Critics-Tests","104","54","1","86","20","43000"
"ReflectionMirrors-Primitives","25","10","1","11","5","8000"
"Network-MIME","95","35","2","36","44","26000"
"EpiceaBrowsers","565","180","44","423","374","354000"
"Graphics-Tests","230","209","2","17","389","33000"
"MonticelloMocks","25","17","1","4","2","18000"
"Calypso-SystemPlugins-Deprecation-Browser","4","2","1","1","0","4000"
"AST-Core-Tests","763","688","6","79","1096","118000"
"Calypso-SystemQueries-Tests-PExtendedByP5","0","0","0","2","0","0"
"Traits-Tests","381","214","290","20","550","235000"
"SUnit-Support-UITesting","15","6","4","1","2","11000"
"BaselineOfTonel","2","2","0","0","0","2000"
"Kernel-Tests-WithCompiler","28","12","14","2","16","4000"
"Commander-Activators-DragAndDrop","36","5","7","15","4","15000"
"BaselineOfTaskIt","12","1","8","0","2","6000"
"Spec2-Code-Diff-Morphic","47","18","23","4","21","17000"
"BaselineOfIDE","22","4","16","0","16","7000"
"CodeImport-Tests","14","12","1","2","3","2000"
"Athens-SVG-PathConverter","69","11","52","4","60","13000"
"Roassal","525","242","41","329","430","174000"
"Collections-Support","49","13","23","4","5","31000"
"Calypso-NavigationModel-Tests","341","298","4","41","284","121000"
"NewTools-WindowManager","34","18","1","15","11","18000"
"RTree-Tests","61","49","0","36","30","29000"
"Random-Core","43","11","2","11","7","15000"
"BaselineOfClassAnnotation","1","0","1","0","0","1000"
"Reflectivity-Examples","53","33","1","12","8","41000"
"HeuristicCompletion-Benchmarks","37","17","0","13","13","12000"
"Graphics-Display Objects","455","138","71","159","461","77000"
"System-Object Events","50","6","11","18","7","10000"
"BaselineOfNewValueHolder","2","1","0","1","0","2000"
"BaselineOfRing","1","1","0","0","5","1000"
"DarkBlueTheme","21","1","2","11","2","6000"
"NewValueHolder-Core","92","37","3","8","22","33000"
"OpalCompiler-UI-Tests","15","0","15","0","14","2000"
"Commander2-UI","33","29","22","2","3","27000"
"FFI-Kernel","253","65","14","70","243","65000"
"Rubric-Tests","190","19","166","4","195","29000"
"Calypso-SystemPlugins-Undeclared-Browser","3","1","1","1","0","4000"
"NewTools-SystemReporter","58","23","16","13","27","39000"
"ThreadedFFI-UFFI","55","4","6","3","14","11000"
"Flashback-Decompiler-Tests","453","323","2","96","344","37000"
"LibGit-Core","1945","466","293","473","1227","2516000"
"Graphics-Fonts","212","47","53","49","246","551000"
"STON-Tests","266","161","48","31","280","76000"
"System-Utilities-Tests","44","21","0","11","28","11000"
"Calypso-SystemPlugins-Reflectivity-Browser","61","28","14","18","9","48000"
"NewTools-FontChooser-Tests","2","0","2","0","0","1000"
"NewTools-Debugger","598","256","81","218","393","275000"
"Microdown-Tests","732","629","4","35","649","131000"
"Refactoring-Core-Tests","168","132","23","10","195","51000"
"NewTools-Morphic-Spotter","1","0","0","0","1","1000"
"Commander-Core","182","90","12","121","44","66000"
"BaselineOfRefactoring","1","1","0","0","0","1000"
"NewTools-ShortcutsBrowser","31","9","14","1","5","21000"
"Kernel-ExtraUtils","29","0","27","0","11","8000"
"BaselineOfTypeMe","1","1","0","0","0","1000"
"Zinc-Character-Encoding-Core","538","164","249","32","418","167000"
"ClassParser","232","116","14","61","132","69000"
"Tool-DependencyAnalyser-Tests-Data","4","0","3","0","1","2000"
"Roassal-SVG","81","42","7","20","46","46000"
"Microdown-RichTextPresenter-Tests","28","23","1","3","4","21000"
"Iceberg-Libgit-Tonel","53","20","4","61","15","71000"
"Morphic-Widgets-Pluggable","322","158","16","139","295","71000"
"Athens-Examples","179","35","116","9","257","106000"
"System-Finalization","40","20","2","10","5","21000"
"Clap-Examples","18","3","1","10","4","6000"
"Monticello-Model","255","117","30","105","101","85000"
"Tools-Tests","21","20","0","1","3","4000"
"RottenTestsFinder","175","54","82","5","39","80000"
"BaselineOfSortFunctions","1","0","1","0","0","1000"
"Shout-Tests","90","79","2","3","23","21000"
"BaselineOfQA","1","1","0","0","0","1000"
"NewTools-Inspector","382","126","180","14","134","282000"
"Collections-Stack","5","1","1","1","0","6000"
"DebugPoints","248","98","81","36","86","91000"
"Roassal-Spec-Morphic","7","0","6","0","1","6000"
"BaselineOfTypeInfoTools","1","1","0","0","0","2000"
"BaselineOfRoassal","15","15","0","0","3","1000"
"NewTools-Debugger-Commands","123","78","19","21","14","425000"
"NewTools-Scopes-Resources-C-Tests","1","0","0","1","0","0"
"Formatter-Settings","4","0","2","0","0","5000"
"OSWindow-Tests","6","5","1","1","1","0"
"Sindarin-Tests","122","17","91","13","111","14000"
"Kernel-CodeModel","1969","730","206","1018","1029","1013000"
"ClassDefinitionPrinters-Tests","55","0","50","0","7","9000"
"Roassal-UML-Tests","3","3","0","0","0","2000"
"NewTools-Spotter-Extensions","68","3","50","0","22","3000"
"SUnit-MockObjects","32","22","0","4","8","11000"
"Graphics-Canvas","337","122","163","14","245","743000"
"FileSystem-Memory-Tests","18","0","15","0","4","4000"
"Network-Kernel","427","181","124","29","288","69000"
"System-Support","476","161","21","258","276","70000"
"Metacello-Bitbucket","9","4","0","1","1","4000"
"FileSystem-Core-Tests","387","13","218","155","310","74000"
"Collections-Sequenceable","696","189","56","329","510","791000"
"Microdown-BrowserExtensions","11","0","0","9","5","6000"
"SystemCommands-MessageCommands-Tests","6","6","0","0","0","0"
"BaselineOfGeneralTests","1","1","0","0","0","1000"
"SUnit-Rules-Tests","6","0","5","1","1","8000"
"Collections-Unordered-Tests","413","617","190","81","273","3378000"
"NewTools-Spotter-Processors-Tests","136","131","0","3","47","29000"
"Roassal-Layouts-Util","182","85","92","2","81","800000"
"Metacello-Core","1187","534","93","351","735","1703000"
"System-Sources","221","99","10","72","120","58000"
"Ring-TraitsSupport","12","0","5","0","2","3760000"
"Tool-DependencyAnalyser-UI","292","91","130","17","130","0"
"NewTools-Debugger-Breakpoints-Tools","179","67","120","4","98","1707000"
"NewTools-RewriterTools-Backend","46","24","8","1","8","25000"
"BaselineOfIceberg","8","6","0","2","3","2000"
"BaselineOfNewToolsDocumentBrowser","1","1","0","0","0","2000"
"WebBrowser-Core","15","6","2","2","2","11000"
"SystemCommands-RefactoringSupport-Tests","80","64","2","10","15","27000"
"SUnit-Core-Traits","48","1","15","15","8","805000"
"Spec2-Commands","123","82","10","23","13","9294000"
"BaselineOfManifest","1","0","1","0","0","2000"
"Calypso-SystemQueries-Tests-P1WithHierarchy","29","13","15","1","2","14000"
"Tool-ExternalBrowser","56","23","25","1","13","850000"
"BaselineOfGeometry","1","0","1","0","0","2000"
"System-SessionManager","102","29","65","3","14","846000"
"Multilingual-Encodings","76","9","55","3","24","18000"
"General-Rules","809","269","496","52","336","10308000"
"Regex-Core-Tests","203","201","1","2","77","32000"
"BaselineOfSlot","2","0","1","0","1","4000"
